date,ticker,action,shares,price,value,commission,pnl,reason
2026-04-27,NEE,SELL,49.984281,94.83,4740.01,2.37,118.59,signal_exit
2026-04-27,GS,SELL,5.70605,937.81,5351.19,2.68,729.47,signal_exit
2026-04-27,HYG,BUY,136.07382,80.51,10955.3,5.48,,signal_entry
2026-04-28,GLD,SELL,10.832409,421.91,4570.3,2.29,-51.03,signal_exit
2026-04-29,XLV,SELL,105.421021,142.84,15058.34,7.53,-635.84,signal_exit
2026-04-29,SPY,SELL,12.220598,711.58,8695.93,4.35,-33.19,signal_exit
2026-04-29,HYG,SELL,136.07382,80.13,10903.59,5.45,-57.16,signal_exit
2026-04-29,VGSH,BUY,37.090962,58.42,2166.85,1.08,,safe_haven_floor
2026-05-04,EEM,SELL,80.163966,64.1,5138.51,2.57,516.89,rebalance_drop
2026-05-04,VWO,SELL,85.522084,58.73,5022.71,2.51,401.15,rebalance_drop
2026-05-04,EFA,SELL,206.413195,100.7,20785.81,10.39,992.78,rebalance_drop
2026-05-04,UUP,SELL,613.327835,27.48,16854.25,8.43,59.04,rebalance_drop
2026-05-04,VNQ,BUY,93.929924,95.46,8966.55,4.48,,rebalance_open
2026-05-04,DBA,BUY,281.40786,28.29,7961.03,3.98,,rebalance_open
2026-05-04,WTMF,BUY,195.02765,40.82,7961.03,3.98,,rebalance_open
2026-05-04,XLK,BUY,47.963815,162.05,7772.54,3.89,,rebalance_open
2026-05-04,GLD,BUY,18.621079,414.71,7722.35,3.86,,rebalance_open
2026-05-04,SPY,BUY,10.559647,718.01,7581.93,3.79,,rebalance_open
2026-05-04,DBC,BUY,192.415842,31.33,6028.39,3.01,,rebalance_open
2026-05-04,JPM,BUY,15.603874,307.65,4800.53,2.4,,rebalance_open
2026-05-04,NVDA,SELL,62.227209,198.48,12350.86,6.18,1920.38,rebalance_trim
2026-05-04,VZ,BUY,81.187033,47.57,3862.07,1.93,,rebalance_open
2026-05-04,TLT,BUY,38.028919,84.96,3230.94,1.62,,rebalance_open
2026-05-04,DBMF,BUY,105.242243,30.7,3230.94,1.62,,rebalance_open
2026-05-04,GE,BUY,6.996089,280.52,1962.54,0.98,,rebalance_open
2026-05-05,XLK,SELL,47.963815,165.63,7944.25,3.97,167.74,catchup_signal_exit
2026-05-05,TLT,SELL,38.028919,85.43,3248.81,1.62,16.25,catchup_signal_exit
2026-05-05,VNQ,SELL,93.929924,95.76,8994.73,4.5,23.68,rebalance_drop
2026-05-05,JPM,BUY,10.146063,309.4,3139.19,1.57,,rebalance_topup
2026-05-05,DBC,BUY,54.302387,31.2,1694.23,0.85,,rebalance_topup
2026-05-05,NVDA,BUY,10.793943,196.5,2121.01,1.06,,rebalance_topup
2026-05-05,VZ,BUY,44.511378,47.34,2107.17,1.05,,rebalance_topup
2026-05-05,TLT,BUY,43.608298,85.43,3725.46,1.86,,rebalance_open
2026-05-06,TLT,SELL,43.608298,86.08,3753.8,1.88,26.47,signal_exit
2026-05-06,VZ,SELL,125.698412,47.44,5963.13,2.98,-9.08,rebalance_drop
2026-05-06,WTMF,BUY,128.638461,40.75,5242.02,2.62,,rebalance_topup
2026-05-06,DBC,BUY,86.393301,30.21,2609.94,1.3,,rebalance_topup
2026-05-06,EEM,BUY,126.790481,67.49,8557.09,4.28,,rebalance_open
2026-05-06,XLK,BUY,40.876533,170.03,6950.24,3.48,,rebalance_open
2026-05-06,TLT,BUY,43.529122,86.08,3746.99,1.87,,rebalance_open
2026-05-07,TLT,SELL,43.529122,85.65,3728.27,1.86,-20.58,signal_exit
2026-05-07,JPM,SELL,25.749937,306.27,7886.43,3.94,-57.23,rebalance_drop
2026-05-07,DBA,BUY,191.70568,27.8,5329.42,2.66,,rebalance_topup
2026-05-07,WTMF,SELL,98.671252,40.92,4037.63,2.02,10.59,rebalance_trim
2026-05-07,VWO,BUY,143.117641,60.21,8617.11,4.31,,rebalance_open
2026-05-07,NVDA,SELL,8.187919,211.5,1731.74,0.87,275.98,rebalance_trim
2026-05-07,TLT,BUY,43.62547,85.65,3736.52,1.87,,rebalance_open
2026-05-08,DBA,SELL,473.11354,27.97,13232.99,6.62,-64.08,signal_exit
2026-05-08,TLT,SELL,43.62547,86.08,3755.28,1.88,16.88,signal_exit
2026-05-08,WTMF,BUY,99.048424,40.85,4046.13,2.02,,rebalance_topup
2026-05-08,DBC,BUY,58.405984,30.3,1769.7,0.88,,rebalance_topup
2026-05-08,XOM,BUY,33.279161,144.57,4811.17,2.41,,rebalance_open
2026-05-08,TLT,BUY,43.68679,86.08,3760.56,1.88,,rebalance_open
2026-05-11,VGSH,SELL,37.090962,58.28,2161.66,1.08,-6.27,signal_exit
2026-05-11,TLT,SELL,43.68679,85.56,3737.84,1.87,-24.59,signal_exit
2026-05-11,XOM,SELL,33.279161,149.68,4981.22,2.49,167.57,rebalance_drop
2026-05-11,DBA,BUY,470.628229,28.33,13332.9,6.67,,rebalance_open
2026-05-11,DBC,SELL,70.531077,31.06,2190.7,1.1,9.4,rebalance_trim
2026-05-11,WTMF,SELL,97.238228,41.15,4001.35,2.0,31.07,rebalance_trim
2026-05-11,AMZN,BUY,24.727855,268.99,6651.55,3.33,,rebalance_open
2026-05-11,XLU,BUY,141.76271,45.14,6399.17,3.2,,rebalance_open
2026-05-11,TLT,BUY,44.270163,85.56,3787.76,1.89,,rebalance_open
2026-05-11,GLD,SELL,9.906584,434.65,4305.9,2.15,195.38,rebalance_trim
2026-05-11,VGSH,BUY,64.992366,58.28,3787.76,1.89,,rebalance_open
2026-05-11,VGSH,SELL,64.992366,58.28,3787.76,1.89,-1.89,floor_short_override
2026-05-12,GE,SELL,6.996089,297.45,2080.99,1.04,117.4,rebalance_drop
2026-05-12,TLT,SELL,44.270163,84.99,3762.52,1.88,-27.12,rebalance_drop
2026-05-12,XLK,BUY,11.153243,175.2,1954.05,0.98,,rebalance_topup
2026-05-12,EEM,SELL,29.687572,65.82,1954.04,0.98,-50.56,rebalance_trim
2026-05-12,SPY,SELL,2.269002,738.18,1674.93,0.84,44.93,rebalance_trim
2026-05-12,JPM,BUY,15.434686,304.88,4705.73,2.35,,rebalance_open
2026-05-12,VGSH,BUY,63.94854,58.26,3725.64,1.86,,rebalance_open
2026-05-12,VGSH,SELL,63.94854,58.26,3725.64,1.86,-1.86,floor_short_override
2026-05-13,XLU,SELL,141.76271,44.67,6332.54,3.17,-69.79,rebalance_drop
2026-05-13,VGSH,BUY,64.126541,58.27,3736.65,1.87,,rebalance_open
2026-05-13,VGSH,SELL,64.126541,58.27,3736.65,1.87,-1.87,floor_short_override
2026-05-14,VWO,SELL,143.117641,59.96,8581.33,4.29,-40.07,rebalance_drop
2026-05-14,DBMF,BUY,373.553581,31.24,11669.81,5.83,,rebalance_topup
2026-05-14,DBA,SELL,73.210807,28.25,2068.21,1.03,-6.89,rebalance_trim
2026-05-14,XLU,BUY,137.636217,44.9,6179.87,3.09,,rebalance_open
2026-05-14,VGSH,BUY,64.195628,58.25,3739.4,1.87,,rebalance_open
2026-05-14,NVDA,SELL,9.088154,235.74,2142.44,1.07,526.51,rebalance_trim
2026-05-14,VGSH,SELL,64.195628,58.25,3739.4,1.87,-1.87,floor_short_override
2026-05-15,DBC,SELL,320.986437,31.19,10011.57,5.01,84.49,rebalance_drop
2026-05-15,WTMF,BUY,91.157889,40.95,3732.92,1.87,,rebalance_topup
2026-05-15,SPY,BUY,3.452783,739.17,2552.19,1.28,,rebalance_topup
2026-05-15,VGSH,BUY,63.579051,58.18,3699.03,1.85,,rebalance_open
2026-05-15,INTC,BUY,20.98212,108.77,2282.23,1.14,,rebalance_open
2026-05-15,VGSH,SELL,63.579051,58.18,3699.03,1.85,-1.85,floor_short_override
2026-05-18,EEM,SELL,97.10291,64.97,6308.78,3.15,-247.85,rebalance_drop
2026-05-18,UUP,BUY,470.757722,27.7,13039.99,6.52,,rebalance_open
2026-05-18,XLK,BUY,9.388893,174.36,1637.05,0.82,,rebalance_topup
2026-05-18,VGSH,BUY,63.65193,58.2,3704.54,1.85,,rebalance_open
2026-05-18,VGSH,SELL,63.65193,58.2,3704.54,1.85,-1.85,floor_short_override
2026-05-19,DBA,SELL,397.417422,28.28,11238.96,5.62,-25.49,rebalance_drop
2026-05-19,JPM,SELL,15.434686,295.7,4564.04,2.28,-143.97,rebalance_drop
2026-05-19,XOM,BUY,37.222575,162.55,6050.53,3.03,,rebalance_open
2026-05-19,EEM,BUY,91.230519,64.26,5862.47,2.93,,rebalance_open
2026-05-19,COST,BUY,5.282786,1094.3199,5781.06,2.89,,rebalance_open
2026-05-19,VGSH,BUY,63.489953,58.15,3691.94,1.85,,rebalance_open
2026-05-19,VGSH,SELL,63.489953,58.15,3691.94,1.85,-1.85,floor_short_override
2026-05-20,AMZN,SELL,24.727855,265.01,6553.13,3.28,-101.69,rebalance_drop
2026-05-20,XOM,SELL,37.222575,156.28,5817.14,2.91,-236.29,rebalance_drop
2026-05-20,EEM,SELL,91.230519,65.46,5971.95,2.99,106.49,rebalance_drop
2026-05-20,DBMF,SELL,140.490023,31.11,4370.64,2.19,-3.77,rebalance_trim
2026-05-20,UUP,SELL,136.760947,27.73,3792.38,1.9,2.21,rebalance_trim
2026-05-20,GLD,BUY,11.034822,417.4,4605.93,2.3,,rebalance_topup
2026-05-20,VGSH,BUY,64.540162,58.24,3758.82,1.88,,rebalance_open
2026-05-20,NEE,BUY,38.993865,88.27,3441.99,1.72,,rebalance_open
2026-05-20,VGSH,SELL,64.540162,58.24,3758.82,1.88,-1.88,floor_short_override
2026-05-21,DBMF,BUY,144.947577,31.11,4509.32,2.25,,rebalance_topup
2026-05-21,UUP,BUY,143.101369,27.73,3968.2,1.98,,rebalance_topup
2026-05-21,VGSH,BUY,64.545823,58.23,3758.5,1.88,,rebalance_open
2026-05-21,VGSH,SELL,64.545823,58.23,3758.5,1.88,-1.88,floor_short_override
2026-05-22,COST,SELL,5.282786,1028.24,5431.97,2.72,-351.8,rebalance_drop
2026-05-22,UUP,SELL,143.800278,27.77,3993.33,2.0,6.78,rebalance_trim
2026-05-22,JPM,BUY,20.415619,306.38,6254.94,3.13,,rebalance_open
2026-05-22,VGSH,BUY,64.520171,58.22,3756.36,1.88,,rebalance_open
2026-05-22,VGSH,SELL,64.520171,58.22,3756.36,1.88,-1.88,floor_short_override
2026-05-25,VGSH,BUY,64.513299,58.22,3755.96,1.88,,rebalance_open
2026-05-25,VGSH,SELL,64.513299,58.22,3755.96,1.88,-1.88,floor_short_override
2026-05-26,VGSH,BUY,64.724953,58.28,3772.17,1.89,,rebalance_open
2026-05-26,VGSH,SELL,64.724953,58.28,3772.17,1.89,-1.89,floor_short_override
2026-05-27,UUP,BUY,142.877692,27.75,3964.86,1.98,,rebalance_topup
2026-05-27,DBA,BUY,361.015017,27.47,9917.08,4.96,,rebalance_open
2026-05-27,VGSH,BUY,64.401111,58.29,3753.94,1.88,,rebalance_open
2026-05-28,UUP,SELL,476.175558,27.7,13190.06,6.6,-16.74,rebalance_drop
2026-05-28,DBA,BUY,119.059596,27.58,3283.66,1.64,,rebalance_topup
2026-05-28,GLD,BUY,5.899751,412.77,2435.24,1.22,,rebalance_topup
2026-05-28,DBC,BUY,327.231676,29.72,9725.33,4.86,,rebalance_open
2026-05-28,XLU,BUY,48.390596,44.63,2159.67,1.08,,rebalance_topup
2026-05-29,NVDA,SELL,13.485076,211.14,2847.24,1.42,449.67,rebalance_drop
2026-05-29,VGSH,BUY,48.40075,58.35,2824.18,1.41,,rebalance_topup
2026-05-29,XLK,SELL,20.579722,191.02,3931.14,1.97,397.06,rebalance_trim
2026-05-29,GLD,SELL,9.470657,417.12,3950.4,1.98,14.11,rebalance_trim
2026-05-29,DBA,SELL,252.613247,27.25,6883.71,3.44,-65.91,rebalance_trim
2026-05-29,DBC,SELL,173.588504,29.48,5117.39,2.56,-44.22,rebalance_trim
2026-05-29,XLU,SELL,86.68895,44.42,3850.72,1.93,-37.45,rebalance_trim
2026-05-29,DBMF,SELL,361.989499,31.0,11221.67,5.61,-48.29,rebalance_trim
2026-05-29,JPM,SELL,8.017293,299.31,2399.66,1.2,-57.88,rebalance_trim
2026-06-01,XLU,SELL,99.337863,43.1,4281.46,2.14,-173.97,rebalance_drop
2026-06-01,INTC,SELL,20.98212,109.33,2293.98,1.15,10.6,rebalance_drop
2026-06-01,JPM,SELL,12.398326,296.58,3677.1,1.84,-123.34,rebalance_drop
2026-06-01,DBMF,BUY,358.494174,31.29,11217.28,5.61,,rebalance_topup
2026-06-01,DBA,BUY,149.663571,27.24,4076.84,2.04,,rebalance_topup
2026-06-01,GLD,BUY,5.227423,411.26,2149.83,1.07,,rebalance_topup
2026-06-01,VNQ,BUY,93.156545,94.09,8765.1,4.38,,rebalance_open
2026-06-01,DBC,BUY,110.470662,29.99,3313.02,1.66,,rebalance_topup
2026-06-01,SPY,SELL,3.616266,758.54,2743.08,1.37,122.7,rebalance_trim
2026-06-01,EEM,BUY,70.793311,70.08,4961.2,2.48,,rebalance_open
2026-06-01,NVDA,BUY,19.933056,224.36,4472.18,2.24,,rebalance_open
2026-06-01,VGSH,SELL,48.241266,58.13,2804.26,1.4,-10.36,rebalance_trim
2026-06-01,VGSH,SELL,64.560595,58.13,3752.91,1.88,-13.87,floor_short_override
2026-06-02,DBC,SELL,264.113834,30.12,7955.11,3.98,71.84,rebalance_drop
2026-06-02,NVDA,SELL,19.933056,222.82,4441.48,2.22,-32.92,rebalance_drop
2026-06-02,TIP,BUY,120.42062,109.97,13242.66,6.62,,rebalance_open
2026-06-02,MUB,BUY,86.553306,107.1,9269.86,4.63,,rebalance_open
2026-06-02,DBA,SELL,88.155416,27.12,2390.77,1.2,-25.45,rebalance_trim
2026-06-02,VNQ,SELL,26.517254,94.52,2506.41,1.25,10.15,rebalance_trim
2026-06-02,XLK,SELL,9.549396,198.21,1892.79,0.95,252.87,rebalance_trim
2026-06-02,XLP,BUY,60.68649,81.83,4965.98,2.48,,rebalance_open
2026-06-02,XLU,BUY,92.648369,43.9,4067.26,2.03,,rebalance_open
2026-06-02,GLD,SELL,12.27337,411.95,5056.02,2.53,-32.66,rebalance_trim
2026-06-02,DBMF,SELL,359.983518,31.41,11307.08,5.65,53.2,rebalance_trim
2026-06-02,VGSH,BUY,64.719044,58.13,3762.12,1.88,,rebalance_open
2026-06-02,GE,BUY,5.340003,317.72,1696.63,0.85,,rebalance_open
2026-06-03,TIP,SELL,120.42062,109.77,13218.57,6.61,-30.69,rebalance_drop
2026-06-03,DBMF,BUY,347.459884,31.42,10917.19,5.46,,rebalance_topup
2026-06-03,VNQ,BUY,18.560998,94.41,1752.34,0.88,,rebalance_topup
2026-06-03,XLU,BUY,57.662756,43.71,2520.44,1.26,,rebalance_topup
2026-06-04,DBA,SELL,288.969521,26.69,7712.6,3.86,-207.63,rebalance_drop
2026-06-04,VNQ,SELL,85.20029,96.1,8187.75,4.09,161.22,rebalance_drop
2026-06-04,EEM,BUY,29.430449,69.1,2033.64,1.02,,rebalance_topup
2026-06-04,JPM,BUY,19.993516,310.89,6215.78,3.11,,rebalance_open
2026-06-04,AMZN,BUY,19.471751,253.79,4941.74,2.47,,rebalance_open
